,Text,Reason,Sentiment,Emotion
97,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",rose,1.0,Confused
98,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .", sales increased,1.0,Happy
99,"International sales rose by 59.8 % to EUR 1,244.4 mn .",rose,1.0,Happy
100,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,grew,1.0,Confused
101,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,sales increased,1.0,Happy
102,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",rose,1.0,Happy
103,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",up from ,1.0,Confused
104,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .", profit margin rose,1.0,Confused
105,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,profit increased,1.0,Confused
106,Operating profit margin increased from 11.2 % to 11.7 % ., profit margin increased ,1.0,Confused
107,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 ., profit rose ,1.0,Happy
108,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,profit rose,1.0,Happy
109,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",up from ,1.0,Confused
110,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",increase,1.0,Confused
111,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",grew,1.0,Happy
112,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,signed an agreemen,1.0,Happy
113,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",development,1.0,Happy
114,Sanoma Magazines ' net sales are estimated to grow in 2006 .,grow,1.0,Confused
115,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,grow,1.0,Confused
116,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .", excess,1.0,Confused
117,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",up from ,1.0,Confused
118,The Department Store Division reported an increase in sales of 4 per cent .,increase,1.0,Happy
119,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,grew,1.0,Happy
120,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",rose,1.0,Confused
121,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .", increased,1.0,Happy
122,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",doubles,1.0,Confused
123,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,rose,1.0,Happy
124,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .", largest ,1.0,Confused
125,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",increase,1.0,Confused
126,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',expand,1.0,Happy
127,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,rose,1.0,Happy
128,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",gone up,1.0,Unhappy
129,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains ., signed,1.0,Happy
130,Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,rose,1.0,Confused
131,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,increased,1.0,Happy
132,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,grew,1.0,Confused
133,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,raised,1.0,Confused
134,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,signed a contract,1.0,Confused
135,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,rose,1.0,Happy
136,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",signed an agreement,1.0,Happy
137,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit ., largest,1.0,Happy
138,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,double turnover,1.0,Confused
139,"According to HKScan Finland , the plan is to increase J+Ãâ rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .", increase,1.0,Confused
140,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",grew,1.0,Happy
141,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",largest ,1.0,Confused
142,"Again , the most significant sales increase of 18.6 % was in Russia .",sales increase,1.0,Happy
143,Alma Media expects its net sales to increase as forecast previously .,sales increase,1.0,Confused
144,Also Lemmink+Ãâ inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,went up,1.0,Confused
145,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",up,1.0,Happy
146,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",profit increased,1.0,Happy
147,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",increased the share,1.0,Happy
148,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",profit and sales increased,1.0,Happy
149,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",profit and sales increased,1.0,Happy
150,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",profit and sales increased,1.0,Happy
151,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",profit and sales increased,1.0,Happy
152,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",profit and sales increased,1.0,Happy
153,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",profit and sales increased,1.0,Happy
154,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
155,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",profit and sales increased,1.0,Happy
156,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
157,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
158,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",profit and sales increased,1.0,Happy
159,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
160,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",profit and sales increased,1.0,Happy
161,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",profit and sales increased,1.0,Happy
162,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",profit and sales increased,1.0,Happy
163,Cargo volume grew by 7 % .,grew,1.0,Happy
164,Cargo volume increased by approximately 5 % .,increased,1.0,Happy
165,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",uo from,1.0,Confused
166,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",up,1.0,Confused
167,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,rose,1.0,Confused
168,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,rose,1.0,Confused
169,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,rose,1.0,Confused
170,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,rose,1.0,Confused
171,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,rose,1.0,Confused
172,EBIT margin was up from 1.4 % to 5.1 % .,uo from,1.0,Confused
173,"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",up by ,1.0,Happy
174,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",up from ,1.0,Confused
175,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",up by ,1.0,Confused
176,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",rose,1.0,Confused
177,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .", signed,1.0,Happy
178,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier ., rose,1.0,Confused
179,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 ., rose,1.0,Happy
180,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .", rose,1.0,Happy
181,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America ., rose,1.0,Confused
182,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 ., rose,1.0,Happy
183,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 ., rose,1.0,Happy
184,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 ., rose,1.0,Confused
185,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",grew up,1.0,Happy
186,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .", up from,1.0,Confused
187,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,increased,1.0,Confused
188,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,rose,1.0,Confused
189,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",strengthen,1.0,Happy
190,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",rose,1.0,Happy
191,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",increase,1.0,Confused
192,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",grawn,1.0,Confused
193,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",grawth,1.0,Confused
194,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",rise,1.0,Confused
195,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",growth,1.0,Confused
196,"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .",generated,0.0,Happy
197,"In addition , Kone signed a two-year maintenance contract for the escalators .",signed,1.0,Confused
198,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",increased,1.0,Happy
199,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",increased,1.0,Happy
200,"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",increased,1.0,Confused
201,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",up,1.0,Happy
202,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",went up,1.0,Happy
203,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",rose,1.0,Happy
204,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",rose,1.0,Unhappy
205,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",increased,1.0,Happy
206,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",increased,1.0,Happy
207,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,widened,1.0,Confused
208,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,comes up,0.0,Confused
209,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .", increase by,1.0,Confused
210,"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",grow,1.0,Happy
211,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,rose,1.0,Confused
212,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",rose,1.0,Confused
213,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",rose,1.0,Confused
214,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",rose,1.0,Confused
215,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",rose,1.0,Confused
216,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",rose,1.0,Confused
217,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .", increase,1.0,Confused
218,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",signed,1.0,Happy
219,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,increased,1.0,Confused
220,"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",up from ,1.0,Confused
221,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",up from ,1.0,Confused
222,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,rose,1.0,Confused
223,"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",up,1.0,Happy
224,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,rose,1.0,Happy
225,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",rose,1.0,Happy
226,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,rose,1.0,Confused
227,Operating profit rose to 22.1 mln eur from 19.9 mln .,rose,1.0,Confused
228,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,rose,1.0,Happy
229,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,rose,1.0,Happy
230,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,rose,1.0,Happy
231,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,rose,1.0,Happy
232,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,rose,1.0,Happy
233,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,rose,1.0,Happy
234,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,rose,1.0,Happy
235,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,rose,1.0,Happy
236,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,rose,1.0,Happy
237,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,rose,1.0,Happy
238,"Operating profit surged to EUR21m from EUR106 ,000 .",surged,1.0,Confused
239,"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",up,1.0,Confused
240,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",uo from,1.0,Confused
241,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",up from ,1.0,Confused
242,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",up,1.0,Happy
243,"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",grew,1.0,Happy
244,Orders received grew by 55 % year-on-year to EUR732m .,gre,1.0,Happy
245,Orion Pharma 's operating profit increased by 42.5 % from 2004 .,increased,1.0,Happy
246,Passenger volumes rose by 8.4 % in the accounting period .,rose,1.0,Happy
247,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,rose,1.0,Happy
248,"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",signed,1.0,Happy
249,Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,rose,1.0,Happy
250,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",rose,1.0,Happy
251,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,rose,1.0,Happy
252,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",up from ,1.0,Confused
253,"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",growth,1.0,Confused
254,"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",up from ,1.0,Confused
255,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",up from ,1.0,Happy
256,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",up from ,1.0,Happy
257,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,grew,1.0,Happy
258,"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",grew,1.0,Happy
259,Revenues at the same time grew 14 percent to 43 million euros .,grew,1.0,Happy
260,"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",signed,1.0,Happy
261,"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",increased,1.0,Happy
262,Sales of clothing developed best .,developed,1.0,Happy
263,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,grew,1.0,Confused
264,"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",rose,1.0,Confused
265,"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",up,1.0,Confused
266,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",growth,1.0,Confused
267,That would be an increase from estimated sales of 117 million last year .,increase,1.0,Happy
268,The agreement expands Tekla Structures ' scope of use to bridge design .,expands,1.0,Confused
269,The aim is to increase sales by at least one fifth in 2006 .,increase,1.0,Confused
270,"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .",rise,1.0,Confused
271,The company expects its net sales in 2008 to increase 5-10 % from 2007 .,increase,1.0,Happy
272,"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .", building a new fleet,1.0,Confused
273,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",up from,1.0,Confused
274,The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,increased,1.0,Happy
275,"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",up from ,1.0,Confused
276,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",price up,1.0,Happy
277,The firm generated sales of 187 mln eur in 2005 .,generated,0.0,Happy
278,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",signed,1.0,Confused
279,"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",rose,1.0,Happy
280,The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006 .,increase,1.0,Happy
281,The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,increase,1.0,Happy
282,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,rose,1.0,Happy
283,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,rose,1.0,Happy
284,The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,expand,1.0,Happy
285,The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,increase,1.0,Happy
286,"There has been some recovery of the base metals prices and increased demand for metals in China , however .",increase,1.0,Confused
287,"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",extends,1.0,Happy
288,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",extend,1.0,Confused
289,Total operating revenue grew by 27.6 % year-on-year to EUR61m .,grew,1.0,Happy
290,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,grew,1.0,Confused
291,"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",strengthen,1.0,Confused
292,"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .",expand,1.0,Confused
293,"With the acquisition , the company will expand its offering to North , Central and South America , it said .",expand,1.0,Happy
294,"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",extension,1.0,Confused
295,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,expansion,1.0,Happy
296,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",grew,1.0,Happy
297,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",growth,1.0,Confused
298,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .",strengthens,1.0,Confused
299,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,grew,1.0,Happy
300,"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .",signed,1.0,Happy
301,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,increase,1.0,Happy
302,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,rose,1.0,Confused
303,Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,rose,1.0,Confused
304,Componenta 's objective with this agreement is to increase business on its existing production lines .,increase,1.0,Happy
305,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",increase,1.0,Happy
306,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,rose,1.0,Happy
307,"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",grew,1.0,Unhappy
308,"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",up from ,1.0,Happy
309,EPS grew to 0.04 eur from 0.02 eur .,grew,1.0,Confused
310,Exports grew 16.5 percent to 19.1 million liters .,grew,1.0,Happy
311,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",went up,1.0,Happy
312,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,went up,1.0,Confused
